name,start_date,end_date,region,track,url,has_guide,available_places
Каппадокия+Эрджияс,2014-05-04,2014-05-10,Other,Гёреме — Голубиная долина — Учхисар — Долина любви — Пашабагалар — монастырь Чавушин — Розовая долина — Красная долина — Деринкую — Ихлара — Селиме — Эрджияс — Кайсери,http://ho4uvpohod.com/ekzoticheskie-pohodi/kappadokiya-erdgiyas,yes,10
Сказочная Каппадокия,2014-05-09,2014-05-11,Other,Гереме (Каппадокия) - Голубиная долина - Учхисар - Долина любви - Пашабаг - Чавушин - Розовая и Красная долины - Деринкую - каньон Ихлара - Селиме - Open Air Muzeum - Гореме,http://ho4uvpohod.com/ekzoticheskie-pohodi/skazochnaya-kappadokiya,yes,10
Центральная Ликия,2014-05-12,2014-05-23,Other,Анталия — Финике  — Белос — Карлиоз-Тепе — Алакилисе — Зейтин — Белорен — Мира — бухта Адриаке — Чакиль — Симена — Учагиз — Аперле — Апполония — Лиман-Айзы — Каш — Анталия,http://ho4uvpohod.com/ekzoticheskie-pohodi/centralnaya-likiya,yes,10
Легендарная Сванетия,2014-06-22,2014-06-30,Other,Кутаиси - Местиа – оз. Корульди - с. Жабеши - с. Адишы – пер. Чхутниери - с. Ипрали - с. Жибианы (община Ушгули) – Сванский хребет - с. Мами - Кутаиси.,http://ho4uvpohod.com/pohodi-na-kavkaz/pohod-po-gruzii-svaneti-kray-tisiachi-bashen,yes,10
Легендарная Сванетия,2014-07-06,2014-07-14,Other,Кутаиси - Местиа – оз. Корульди - с. Жабеши - с. Адишы – пер. Чхутниери - с. Ипрали - с. Жибианы (община Ушгули) – Сванский хребет - с. Мами - Кутаиси.,http://ho4uvpohod.com/pohodi-na-kavkaz/pohod-po-gruzii-svaneti-kray-tisiachi-bashen,yes,10
Легендарная Сванетия,2014-07-20,2014-07-28,Other,Кутаиси - Местиа – оз. Корульди - с. Жабеши - с. Адишы – пер. Чхутниери - с. Ипрали - с. Жибианы (община Ушгули) – Сванский хребет - с. Мами - Кутаиси.,http://ho4uvpohod.com/pohodi-na-kavkaz/pohod-po-gruzii-svaneti-kray-tisiachi-bashen,yes,10
Легендарная Сванетия,2014-08-03,2014-08-11,Other,Кутаиси - Местиа – оз. Корульди - с. Жабеши - с. Адишы – пер. Чхутниери - с. Ипрали - с. Жибианы (община Ушгули) – Сванский хребет - с. Мами - Кутаиси.,http://ho4uvpohod.com/pohodi-na-kavkaz/pohod-po-gruzii-svaneti-kray-tisiachi-bashen,yes,10
Легендарная Сванетия,2014-08-17,2014-08-25,Other,Кутаиси - Местиа – оз. Корульди - с. Жабеши - с. Адишы – пер. Чхутниери - с. Ипрали - с. Жибианы (община Ушгули) – Сванский хребет - с. Мами - Кутаиси.,http://ho4uvpohod.com/pohodi-na-kavkaz/pohod-po-gruzii-svaneti-kray-tisiachi-bashen,yes,10
Легендарная Сванетия,2014-08-31,2014-09-08,Other,Кутаиси - Местиа – оз. Корульди - с. Жабеши - с. Адишы – пер. Чхутниери - с. Ипрали - с. Жибианы (община Ушгули) – Сванский хребет - с. Мами - Кутаиси.,http://ho4uvpohod.com/pohodi-na-kavkaz/pohod-po-gruzii-svaneti-kray-tisiachi-bashen,yes,10
Ликийская тропа,2014-09-21,2014-10-02,Other,Анталия - каньон Гойнюк - Гедельме - гора Тахтали Даг 2365 м. - Бейчик - Улупинар  - Химера (вечные огни) - пляжи Чирали - руины Олимпоса - Адрасан - маяк на мысе Гелидония - Мавикент - Пиратская бухта - Караоз - Кумлуджа,http://ho4uvpohod.com/ekzoticheskie-pohodi/peshii-pokhod-po-turtsii-likiiskaya-tropa,yes,10
